Ref,LEA_Name,Reference,Contract,POST Participating,City,Latitude,Longitude,County,State,LEA_Type,Site,Policy_Manual_Exists,Mil_Equip_Policy_Exists,Military Equipment Inventory Exists,QA_Policy_Manual,QA_Mil_Equip_Policy,QA Mil_Equip_Inventory (if separate),Notes
SB978-050,Brawley Police Department,,no,yes,Brawley,32.97863,-115.5340,Imperial County,California,Police,http://www.brawley-ca.gov,TRUE,TRUE,TRUE,https://www.brawley-ca.gov/cms/kcfinder/upload/files/police_department/Policies/RELEASE_20220524_T133234_Brawley_PD_CA_Policy_Manual.pdf,https://www.brawley-ca.gov/cms/kcfinder/upload/files/police_department/Self-Service/Policy%20709.pdf,http://www.brawley-ca.gov/cms/kcfinder/upload/files/police_department/Policies/Brawley%20Police%20Department%20AB481%20Military%20Equipment%20List.pdf,
SB978-051,Brea Police Department,,no,yes,Brea,33.91759,-117.8890,Orange County,California,Police,https://www.ci.brea.ca.us,TRUE,TRUE,,https://www.ci.brea.ca.us/DocumentCenter/View/10023/Brea_PD_Policy_Manual_May2022?bidId=,https://www.ci.brea.ca.us/DocumentCenter/View/10023/Brea_PD_Policy_Manual_May2022?bidId=,,
SB978-052,Brentwood Police Department,,no,yes,Brentwood,37.93406,-121.6927,Contra Costa County,California,Police,https://www.brentwoodca.gov,TRUE,TRUE,,https://www.brentwoodca.gov/home/showpublisheddocument/2/637785573557000000,https://brentwoodca.prod.govaccess.org/home/showdocument?id=4960&t=637838235418693986,,
SB978-053,Brisbane Police Department,,no,yes,Brisbane,37.680833,-122.419167,San Francisco County,California,Police,https://www.brisbaneca.org,TRUE,TRUE,,https://www.brisbaneca.org/sites/default/files/fileattachments/police/page/6571/brisbane_pd_policy_manual_20180105.pdf,https://www.brisbaneca.org/sites/default/files/fileattachments/police/page/24131/brisbane_military_equipment_use_policy.pdf,,
SB978-054,Broadmoor Police Department,,no,yes,Daly City,37.69109,-122.4724,San Mateo County,California,Police,https://www.broadmoorpolice.com,TRUE,TRUE,,https://www.broadmoorpolice.com/wp-content/uploads/2021/07/broadmoor_police_policy_manual_2021.pdf,https://www.broadmoorpolice.com/wp-content/uploads/2022/05/brd_military_equipment_2022.pdf,,
SB978-055,Buena Park Police Department,,no,yes,Buena Park,33.86520,-117.9980,Orange County,California,Police,https://www.bppd.com/,TRUE,TRUE,,https://public.powerdms.com/BUENAPPD/tree,https://cms4files.revize.com/buenaparkpolice/document_center/GO%20409%20-%20Military%20Equipment%20Use%20Draft.pdf,,
SB978-056,Burbank Police Department,,no,yes,Burbank,34.18182,-118.3078,Los Angeles County,California,Police,https://www.burbankpd.org,TRUE,TRUE,,https://www.burbankpd.org/assets/1/7/Policy_Manual_2022.pdf,https://www.burbankpd.org/assets/1/7/Military_Equipment_Policy___Inventory_(2022)1.pdf,,
SB978-058,Burlingame Police Department,,no,yes,Burlingame,37.58037,-122.3509,San Mateo County,California,Police,https://www.burlingame.org,TRUE,TRUE,,https://cms6.revize.com/revize/burlingamecity/document_center/Police/Policies/Burlingame%20PD%20Policy%20Manual%2003-18-2022.pdf,https://cms6.revize.com/revize/burlingamecity/document_center/Police/Policies/Burlingame%20PD%20Policy%20Manual%2003-18-2022.pdf,,
SB978-062,Butte County Sheriff's Department/Coroner,,no,yes,Oroville,39.51388,-121.5561,Butte County,California,Sheriff,http://www.buttecounty.net,TRUE,TRUE,,https://www.buttecounty.net/Portals/30/Documents/2022%20BCDA%20Bureau%20of%20Investigation%20Policy%20Manual.pdf?ver=2022-04-14-111534-907,https://www.buttecounty.net/Portals/24/pdf/1BCSO%20AB%20481%20Policy%2004_22_22.pdf?ver=2022-04-25-080253-163,,
SB978-066,Calaveras County Sheriff's Department,,no,yes,San Andreas,38.19635,-120.6814,Calaveras County,California,Sheriff,https://sheriff.calaverasgov.us,TRUE,TRUE,,https://sheriff.calaverasgov.us/LinkClick.aspx?fileticket=IF8AUbjJzSk%3D&portalid=21,https://sheriff.calaverasgov.us/Portals/Sheriff/Documents/Policy%20709%20Calaveras%20County%20Sheriff.pdf?ver=Iu7-TXqGvPwQyOCpSyzWJA%3D%3D,,"Policy says to see attachement ""CCSO 2022 Military Equipment Report"" but it's not on their site (as of 10-18-22)"
SB978-067,Calexico Police Department,,no,yes,Calexico,32.67864,-115.4987,Imperial County,California,Police,https://www.calexico.ca.gov,TRUE,TRUE,TRUE,https://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/CPD_Policy_Manual_RELEASE_20201205_T023716_Calexico_PD_Policy_Manual.pdf,https://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/RELEASE_20220228_T143708_Calexico_PD_Policy_Manual.pdf,https://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/Calexico_Military_Equipment_List_.pdf,
SB978-068,California City Police Department,,no,yes,California City,35.12894,-117.9856,Kern County,California,Police,https://www.californiacity-ca.gov,TRUE,TRUE,,https://www.californiacity-ca.gov/CC/images/California_City_PD_-_Policy_Manual_2022.pdf,https://www.californiacity-ca.gov/CC/images/California_City_PD_-_Policy_Manual_2022.pdf,,
SB978-071,Calistoga Police Department,,no,yes,Calistoga,38.57878,-122.5795,Napa County,California,Police,https://www.ci.calistoga.ca.us,TRUE,TRUE,,https://www.ci.calistoga.ca.us/home/showpublisheddocument/35615/637453678162830000,https://www.ci.calistoga.ca.us/home/showpublisheddocument/37873,,
SB978-072,Campbell Police Department,,no,yes,Campbell,37.28890,-121.9449,Santa Clara County,California,Police,https://www.ci.campbell.ca.us,TRUE,TRUE,,https://www.campbellca.gov/DocumentCenter/View/16869/08262022_Campbell_PD_Policy_Manual?bidId=,https://www.campbellca.gov/DocumentCenter/View/16869/08262022_Campbell_PD_Policy_Manual?bidId=,,
SB978-073,City of Capitola,,,yes,Capitola,36.97472,-121.9537,Santa Cruz County,California,Police,https://www.cityofcapitola.org,TRUE,TRUE,TRUE,https://www.cityofcapitola.org/sites/default/files/fileattachments/police/page/14101/release_20220831_t132606_capitola_pd_ca_policy_manual_1.pdf,https://www.cityofcapitola.org/sites/default/files/fileattachments/police/page/21751/cpd_ab481_dally_final_.pdf,https://www.cityofcapitola.org/sites/default/files/fileattachments/police/page/21751/cpd_equipment_ab_481.pdf,
SB978-074,Carlsbad Police Department,,no,yes,Carlsbad,33.16588,-117.3382,San Diego County,California,Police,https://www.carlsbadca.gov/departments/police,TRUE,TRUE,TRUE,https://www.carlsbadca.gov/home/showpublisheddocument/4661/637521732227470000,https://www.carlsbadca.gov/home/showpublisheddocument/10009/637877016964218030,https://www.carlsbadca.gov/home/showpublisheddocument/9565/637885488390100000,
SB978-075,Carmel Police Department,,no,yes,Carmel,36.55443,-121.9244,Monterey County,California,Police,https://ci.carmel.ca.us,TRUE,TRUE,,https://ci.carmel.ca.us/sites/main/files/file-attachments/carmel_by_the_sea_pd_policy_manual.pdf,NA,,
SB978-076,Cathedral City Police Department,,no,yes,Cathedral City,33.78101,-116.4643,Riverside County,California,Police,http://www.cathedralcitypolice.com,TRUE,TRUE,,https://www.cathedralcitypolice.com/wp-content/uploads/2020/07/RELEASE_20200722_T102646_Cathedral_City_Police_Department_Policy_Manual_Redacted.pdf,https://www.cathedralcitypolice.com/wp-content/uploads/2022/01/Military_Equipment-Policy-708-CCPD.pdf,,
SB978-077,Central Marin Police Authority,,no,yes,Larkspur,37.93506,-122.5355,Marin County,California,Police,https://www.centralmarinpolice.org,TRUE,TRUE,,https://www.centralmarinpolice.org/DocumentCenter/View/993/Policy-Manual-09-19-2019,https://www.centralmarinpolice.org/DocumentCenter/View/1215/CMPA-Military-Equipment-Use-Policy---Attachement-1-4-5-2022,,
SB978-078,Ceres Department of Public Safety,,no,yes,Ceres,37.59476,-120.9560,Stanislaus County,California,Police,https://www.ci.calistoga.ca.us,TRUE,TRUE,,https://www.ci.calistoga.ca.us/home/showpublisheddocument/35615/637453678162830000,https://www.ci.calistoga.ca.us/home/showpublisheddocument/37873,,
SB978-080,Chaffey Community College District Police Department,,no,yes,Rancho Cucamonga,34.10280,-117.5753,San Bernardino County,California,College/University,https://www.chaffey.edu,TRUE,FALSE,FALSE,https://www.chaffey.edu/police/docs/policy-manual.pdf ,NA,,
SB978-082,Chico Police Department,,no,yes,Chico,39.73200,-121.8420,Butte County,California,Police,https://chico.ca.us,TRUE,TRUE,,https://chico.ca.us/sites/main/files/file-attachments/chico_pd_ca_policy_manual.pdf,https://chico.ca.us/sites/main/files/file-attachments/proposed_policy_709_-_military_equipment_and_inventory.pdf?1646702442,,
SB978-083,Chino Police Department,,no,yes,Chino,34.01342,-117.6893,San Bernardino County,California,Police,https://www.cityofchino.org,TRUE,TRUE,TRUE,https://cityofchino.org/DocumentCenter/View/2603/Chino_PD_Policy_Manual-Updated-3232022?bidId=,https://cityofchino.org/DocumentCenter/View/2603/Chino_PD_Policy_Manual-Updated-3232022?bidId=,https://ca-chino.civicplus.com/DocumentCenter/View/3267/January-2023-CPD-Policy-Manual?bidId=,
SB978-084,Chowchilla Police Department,,no,yes,Chowchilla,37.12319,-120.2596,Madera County,California,Police,https://www.cityofchowchilla.org,TRUE,TRUE,,https://www.cityofchowchilla.org/DocumentCenter/View/1547/Department-Policy-Manual?bidId=,https://www.cityofchowchilla.org/DocumentCenter/View/2650/Item-333-Policy-705---Military-Equipment-Use-Policy-AB-481-00932674x7AD00-002,,
SB978-085,Chula Vista Police Department,,no,yes,Chula Vista,32.64090,-117.0843,San Diego County,California,Police,https://www.chulavistaca.gov,TRUE,TRUE,TRUE,https://www.chulavistaca.gov/home/showpublisheddocument/25855/638140352222070000,https://www.chulavistaca.gov/home/showpublisheddocument/25847/638139883003830000,,
SB978-087,Citrus Heights Police Department,,no,yes,Citrus Heights,38.69879,-121.2717,Sacramento County,California,Police,http://www.citrusheights.net,TRUE,TRUE,,http://citrusheights.net/1006/Department-Policies,https://www.citrusheights.net/DocumentCenter/View/17618/Military-Equipment-Use---Proposed-Policy-706,,
SB978-089,Claremont Police Department,,no,yes,Claremont,34.09641,-117.7164,Los Angeles County,California,Police,https://www.ci.claremont.ca.us,TRUE,TRUE,,https://www.ci.claremont.ca.us/home/showpublisheddocument/14969/637296403391470000,https://www.ci.claremont.ca.us/home/showpublisheddocument/18217/637879380386230000,,"Not sure if this counts as a policy manual; can't find a link to all of their policies (i.e. a manual / list of policies) on their website, but they have individual policies scattered throughout"
SB978-090,Clayton Police Department,,no,yes,Clayton,37.94285,-121.9372,Contra Costa County,California,Police,https://ci.clayton.ca.us,TRUE,TRUE,,https://claytonca.gov/fc/police/clayton-police-department-policy-manual.pdf,https://claytonca.gov/fc/police/clayton-police-department-policy-manual.pdf,,
SB978-091,Clearlake Police Department,,no,yes,Clearlake,38.95072,-122.6224,Lake County,California,Police,https://clearlake.ca.us,TRUE,TRUE,,https://www.clearlake.ca.us/DocumentCenter/View/1439/Clearlake-PD-Policy-Manual-2019-12-27,https://www.clearlake.ca.us/DocumentCenter/View/1908/Draft-CPD-Military-Equipment-Policy---30-Day-Reviewpdf,,
SB978-092,Cloverdale Police Department,,no,yes,Cloverdale,38.80610,-123.0177,Sonoma County,California,Police,https://www.cloverdale.net,TRUE,TRUE,,https://www.cloverdale.net/DocumentCenter/View/4285/Updated-Policy-manual?bidId=,https://www.cloverdale.net/DocumentCenter/View/4960/2021-AB-481-CLOVERDALE-POLICE-MILITARY-EQUIPMENT-USE-POLICY-pdf,,
SB978-093,Clovis Police Department,,no,yes,Clovis,36.82396,-119.6943,Fresno County,California,Police,https://cityofclovis.com,TRUE,TRUE,,https://cityofclovis.com/wp-content/uploads/2021/10/CPD-Policy-Manual-09152021.pdf,https://cityofclovis.com/wp-content/uploads/2022/03/CPD-Policy-Manual-03302022.pdf,,
SB978-094,Clovis Unified School District Police Department,,no,yes,Clovis,36.82396,-119.6943,Fresno County,California,School,https://www.cusd.com,TRUE,TRUE,,https://www.cusd.com/Downloads/CUSD%20POLICY%20MANUAL.pdf,NA,,
SB978-095,Coalinga Police Department,,no,yes,Coalinga,36.13745,-120.3625,Fresno County,California,Police,https://www.coalinga.com,TRUE,TRUE,,https://www.coalinga.com/DocumentCenter/View/89/10-02-2018-Release-Coalinga-Police-Department-Policy-Manual-PDF,NA,,
SB978-096,Coast Community College District Police Department,,no,yes,Costa Mesa,33.66389,-117.9024,Orange County,California,College/University,https://www.goldenwestcollege.edu,TRUE,TRUE,,https://www.goldenwestcollege.edu/Links/pdf/RELEASE_20190924_T141046_Coast_Community_College_Police_Department_Protocol_Manual.pdf,NA,,
SB978-098,Colma Police Department,,no,yes,Colma,37.67792,-122.4598,San Mateo County,California,Police,https://www.colma.ca.gov,TRUE,TRUE,,https://storage.googleapis.com/proudcity/colmaca/uploads/2019/12/RELEASE_20220908_T151533_Colma_PD_Policy_Manual.pdf,https://storage.googleapis.com/proudcity/colmaca/uploads/2022/03/Colma-Police-Military-Equipment-Policy.pdf,,
SB978-099,Colton Police Department,,no,yes,Colton,34.07214,-117.3232,San Bernardino County,California,Police,https://www.coltonpd.org,TRUE,TRUE,,https://coltonpd.org/DocumentCenter/View/283/Colton-Police-Department-Policy-Manual-PDF,https://coltonpd.org/DocumentCenter/View/296/Policy-707-Colton-Military-Equipment-Use-Policy?bidId=,,
SB978-100,Colusa County District Attorney,,no,yes,Colusa,39.21428,-122.0090,Colusa County,California,District Attorney,https://www.countyofcolusa.org,TRUE,TRUE,TRUE,https://www.countyofcolusa.org/DocumentCenter/View/13410/Colusa-County-Sheriffs-Office-Policy-Manual,https://www.countyofcolusa.org/DocumentCenter/View/15369/CCSO-POLICY-709,https://www.countyofcolusa.org/DocumentCenter/View/15370/CCSO-POLICY-7094-MILITARY-EQUIPMENT-INVENTORY,
SB978-101,Colusa County Sheriff's Department,,no,yes,Colusa,39.21428,-122.0090,Colusa County,California,Sheriff,https://countyofcolusa.org,TRUE,TRUE,TRUE,https://www.countyofcolusa.org/DocumentCenter/View/13410/Colusa-County-Sheriffs-Office-Policy-Manual,https://countyofcolusa.org/DocumentCenter/View/15369/CCSO-POLICY-709,https://countyofcolusa.org/DocumentCenter/View/15370/CCSO-POLICY-7094-MILITARY-EQUIPMENT-INVENTORY,
SB978-102,Colusa Police Department,,no,yes,Colusa,39.21428,-122.0090,Colusa County,California,Police,https://www.cityofcolusa.com,TRUE,TRUE,TRUE,https://countyofcolusa.org/DocumentCenter/View/13410/Colusa-County-Sheriffs-Office-Policy-Manual,https://www.countyofcolusa.org/DocumentCenter/View/15369/CCSO-POLICY-709,https://www.countyofcolusa.org/DocumentCenter/View/15370/CCSO-POLICY-7094-MILITARY-EQUIPMENT-INVENTORY?bidId=,
SB978-105,Concord Police Department,,no,yes,Concord,37.98165,-122.0258,Contra Costa County,California,Police,http://www.cityofconcord.org,TRUE,TRUE,,https://www.cityofconcord.org/841/Department-Policy,https://cityofconcord.org/DocumentCenter/View/7502/CPD-Draft-Policy-706---Military-Equipment?bidId=,,
SB978-107,Contra Costa Community College District Police Department,,no,yes,Martinez,38.01393,-122.1349,Contra Costa County,California,College/University,https://www.4cd.edu,TRUE,TRUE,,https://www.4cd.edu/pd/docs/contra-costa-community-college-pd-manual.pdf,https://www.4cd.edu/pd/docs/contra-costa-community-college-pd-manual.pdf,,
SB978-108,Contra Costa County District Attorney,,no,yes,Martinez,38.01393,-122.1349,Contra Costa County,California,District Attorney,https://www.contracosta.ca.gov,TRUE,TRUE,TRUE,https://www.contracosta.ca.gov/DocumentCenter/View/67484/CCCDAO-Policy-Manual-PDF?bidId=,https://www.cocosheriff.org/home/showpublisheddocument/484/637962536977370000,https://www.cocosheriff.org/home/showpublisheddocument/486/637962537855200000,
SB978-109,Contra Costa County Sheriff's Department/Coroner,,no,yes,Martinez,38.01393,-122.1349,Contra Costa County,California,Sheriff,https://www.cocosheriff.org,TRUE,TRUE,,https://www.cocosheriff.org/home/showpublisheddocument/442/637873667474700611,https://www.cocosheriff.org/home/showpublisheddocument/442/637873667474700611,,
SB978-110,Corcoran Police Department,,no,yes,Corcoran,36.09805,-119.5590,Kings County,California,Police,https://www.cityofcorcoran.com/,TRUE,TRUE,,https://cms9files.revize.com/corcoranca/Corcoran%20PD%20Policy%20Manual%20(2022_05).pdf,https://cms9files.revize.com/corcoranca/Corcoran%20PD%20Policy%20Manual%20(2022_05).pdf,,
SB978-112,Corona Police Department,,no,yes,Corona,33.87925,-117.5748,Riverside County,California,Police,https://www.coronaca.gov,TRUE,TRUE,TRUE,https://www.coronaca.gov/home/showpublisheddocument/17388/637496635842370000,https://www.coronaca.gov/home/showpublisheddocument/21524/637926319841070000,https://www.coronaca.gov/home/showpublisheddocument/22568/637932194757500000,
SB978-113,Coronado Police Department,,no,yes,Coronado,32.67619,-117.1709,San Diego County,California,Police,https://coronado.ca.us,TRUE,TRUE,,https://www.coronado.ca.us/DocumentCenter/View/1164/Policy-Manual-PDF,https://www.coronado.ca.us/DocumentCenter/View/1166/AB-481-PDF,,
SB978-114,Costa Mesa Police Department,,no,yes,Costa Mesa,33.66389,-117.9024,Orange County,California,Police,https://www.costamesaca.gov,TRUE,TRUE,TRUE,https://www.costamesaca.gov/home/showpublisheddocument/40449/637442270717970000,https://www.costamesaca.gov/home/showpublisheddocument/51018/637855506206230000,https://www.costamesaca.gov/home/showpublisheddocument/51016/637908990846430000,
SB978-115,Cosumnes River College Police Department,Los Rios Community College District Police Department,no,yes,Sacramento,38.57944,-121.4908,Sacramento County,California,College/University,https://police.losrios.edu,TRUE,TRUE,,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,,
SB978-116,Cotati Police Department,,no,yes,Cotati,38.32336,-122.7083,Sonoma County,California,Police,http://www.cotaticity.org,TRUE,TRUE,,https://www.cotaticity.org/DocumentCenter/View/432/Cotati-Police-Department-Policy-Manual-PDF,https://www.cotaticity.org/DocumentCenter/View/433/Military-Equipment-PDF,,
SB978-117,Covina Police Department,,no,yes,Covina,34.08743,-117.8899,Los Angeles County,California,Police,https://covinaca.gov,TRUE,TRUE,,https://covinapd.org/wp-content/uploads/2022/09/covinapd-policy-manual-2022-09.pdf,https://covinapd.org/wp-content/uploads/2022/09/covinapd-policy-manual-2022-09.pdf,,
SB978-118,CPSU Pomona Department of Public Safety,,no,yes,Pomona,34.05499,-117.7500,Los Angeles County,California,College/University,https://www.cpp.edu,TRUE,TRUE,,https://www.cpp.edu/police/csu_pomona_policy_and_procedure_manual.pdf,NA,,
SB978-119,Cal Poly University Police,,,,San Luis Obispo,35.28579,-120.6627,San Luis Obispo County,California,College/University,https://afd.calpoly.edu,TRUE,TRUE,,https://afd.calpoly.edu/police/police-administration/policies,https://afd.calpoly.edu/police/police-administration/policies/700/709-regulated-equipment-tools.pdf,,
SB978-121,CSU Bakersfield University Police Department,,no,yes,Bakersfield,35.36723,-119.0189,Kern County,California,College/University,https://www.csub.edu,TRUE,TRUE,,https://www.csub.edu/bas/police/_files/CSUB-Policy-Manual-RELEASE.pdf,https://www.csub.edu/bas/police/_files/Regulated-Equipment-and-Tools-Policy.pdf,,
SB978-122,CSU Channel Islands University Police Department,,no,yes,Camarillo,34.22340,-119.0507,Ventura County,California,College/University,https://www.csuci.edu,TRUE,TRUE,,https://www.csuci.edu/publicsafety/police/lexipol-manuals/lexipol-manual-06172020.pdf,NA,,
SB978-123,CSU Chico University Police Department,,no,yes,Chico,39.73200,-121.8420,Butte County,California,College/University,https://www.csuchico.edu,TRUE,TRUE,,https://www.csuchico.edu/up/_assets/documents/upd-policy.pdf,NA,,
SB978-124,CSU Dominguez Hills University Police and Parking,,no,yes,Carson,33.83161,-118.2621,Los Angeles County,California,College/University,https://www.csudh.edu,TRUE,TRUE,,https://www.csudh.edu/Assets/csudh-sites/dhpd/docs/RELEASE_20191203_T174623_CSU_Dominguez_Hills_PD_CA_Policy_Manual%20(1).pdf,NA,,
SB978-125,CSU East Bay University Police Department,,no,yes,Hayward,37.67134,-122.0856,Alameda County,California,College/University,https://www.csueastbay.edu,TRUE,TRUE,,https://www.csueastbay.edu/upd/files/docs/csu-east-bay-policy-and-procedure-manual.pdf,NA,,
SB978-126,CSU Fresno University Police Department,,no,yes,Fresno,36.74084,-119.7855,Fresno County,California,College/University,http://www.fresnostate.edu,TRUE,TRUE,,https://adminfinance.fresnostate.edu/police/policies.html,NA,,
SB978-127,CSU Fullerton University Police Department,,no,yes,Fullerton,33.87033,-117.9290,Orange County,California,College/University,https://police.fullerton.edu,TRUE,TRUE,,https://police.fullerton.edu/policies-training/Default.php,NA,,
SB978-128,Cal Poly Humboldt Police Department ,,,yes,Arcata,40.86766,-124.0851,Humboldt County,California,College/University,https://police.humboldt.edu,TRUE,FALSE,FALSE,https://police.humboldt.edu/sites/default/files/policy_manual_04-01-2022.pdf,,,A task force determined to disarm the police department: https://associatedstudents.humboldt.edu/sites/default/files/res_2020-21-06_restructure_upd.pdf
SB978-129,CSU Long Beach University Police Department,,no,yes,Long Beach,33.76672,-118.1924,Los Angeles County,California,College/University,https://www.csulb.edu,TRUE,TRUE,,https://drive.google.com/file/d/1o5vFDJhQj3-NeQ_oG2BG6Gv6OZMdM_71/view?usp=sharing,NA,,Access is denied to this doc. Linked from https://csumb.edu/police/ 
SB978-130,Cal State LA Police Department,,,yes,Los Angeles,34.05357,-118.2454,Los Angeles County,California,College/University,https://www.calstatela.edu,TRUE,FALSE,FALSE,https://www.calstatela.edu/police/policies-and-training,,,
SB978-132,CSU Monterey Bay University Police Department,,no,yes,Seaside,36.60390,-121.8530,Monterey County,California,College/University,https://csumb.edu,TRUE,TRUE,,https://csumb.edu/media/csumb/section-editors/university-police/CSU_Monterey_Bay_PD_CA_Policy_Manual.pdf,NA,,Link is broken
SB978-133,CSU Northridge Department of Police Services,,no,yes,Northridge,34.23512,-118.5338,Los Angeles County,California,College/University,https://www.csun.edu,TRUE,TRUE,,https://www.csun.edu/police/policy-manual-0,NA,,
SB978-134,CSU Sacramento Public Safety/University Police Department,,no,yes,Sacramento,38.57944,-121.4908,Sacramento County,California,College/University,https://www.csus.edu,TRUE,TRUE,,https://www.csus.edu/campus-safety/police-department/_internal/_documents/public__csu_sacramento_pd_policy_manual.pdf,NA,,
SB978-135,CSU San Bernardino University Police Department,,no,yes,San Bernardino,34.12717,-117.3348,San Bernardino County,California,College/University,https://www.csusb.edu,TRUE,FALSE,FALSE,https://www.csusb.edu/police/public-information/csusb-university-police-policies,,,
SB978-136,San Diego State University Police Department,,,,San Diego,32.71568,-117.1617,San Diego County,California,College/University,https://police.sdsu.edu,TRUE,FALSE,FALSE,https://police.sdsu.edu/about/sdsupd_manual.pdf,,,
SB978-138,CSU San José University Police Department,,no,yes,San Jose,37.33865,-121.8854,Santa Clara County,California,College/University,https://www.sjsu.edu,TRUE,TRUE,, https://www.sjsu.edu/police/docs/forms/UPD%20Policy%20Manual.pdf,NA,,
SB978-139,CSU San Marcos University Police Department,,no,yes,San Marcos,33.14115,-117.1607,San Diego County,California,College/University,https://www.csusm.edu,TRUE,TRUE,,https://www.csusm.edu/police/policepolicymanual.pdf,NA,,
SB978-140,Sonoma State University Police and Parking Services,,,,Rohnert Park,38.34242,-122.7102,Sonoma County,California,College/University,https://web.sonoma.edu,TRUE,FALSE,FALSE,https://police.sonoma.edu/sites/police/files/images/release_20211005_t155608_sonoma_state_university_police_policy_manual.pdf,,,
SB978-141,CSU Stanislaus Police Department,,,,Turlock,37.49528,-120.8467,Stanislaus County,California,College/University,https://www.csustan.edu,TRUE,FALSE,FALSE, https://www.csustan.edu/sites/default/files/groups/University%20Police%20Department/documents/20200617_stanislaus_state_pd_policy_manual.pdf,,,
SB978-142,Cuesta College Department of Public Safety,,no,yes,San Luis Obispo,35.28579,-120.6627,San Luis Obispo County,California,College/University,https://www.cuesta.edu,TRUE,TRUE,,https://www.cuesta.edu/about/documents/publicsafety/PolicyManualFull_09_2020.pdf,NA,,
SB978-143,Culver City Police Department,,no,yes,Culver City,34.02161,-118.3962,Los Angeles County,California,Police,https://www.culvercitypd.org,TRUE,TRUE,,https://www.culvercitypd.org/files/assets/police/documents/policies/release_20220615_culver_city_pd_policy_manual.pdf,https://www.culvercitypd.org/files/assets/police/documents/policies/release_20220615_culver_city_pd_policy_manual.pdf,,
SB978-144,Cypress Police Department,,no,yes,Cypress,33.82434,-118.0372,Orange County,California,Police,https://www.cypressca.org,TRUE,TRUE,,https://www.cypressca.org/home/showpublisheddocument/9444/637540739710700000,https://www.culvercitypd.org/files/assets/police/documents/policies/release_20220615_culver_city_pd_policy_manual.pdf,,
SB978-145,Daly City Police Department,,no,yes,Daly City,37.69109,-122.4724,San Mateo County,California,Police,https://www.dalycity.org/,TRUE,TRUE,TRUE,https://public.powerdms.com/DalyCityPD/tree/documents/2526717,https://dalycity.org/DocumentCenter/View/6172/Military-Equipment-Draft-4722-PDF,https://dalycity.org/DocumentCenter/View/6171/Military-Equipment-List-Draft-PDF?bidId=,
SB978-148,Davis Police Department,,no,yes,Davis,38.54669,-121.7446,Yolo County,California,Police,https://www.cityofdavis.org,TRUE,TRUE,,https://www.cityofdavis.org/city-hall/police-department/administration/department-manual,https://www.cityofdavis.org/home/showpublisheddocument/17599,,
SB978-150,Del Norte County Sheriff's Department,,no,yes,Crescent City,41.75281,-124.2005,Del Norte County,California,Sheriff,http://www.co.del-norte.ca.us,TRUE,TRUE,,https://www.co.del-norte.ca.us/media/Sheriffs/SO_Policy_Manual%2007.01.2020.pdf,NA,,
SB978-151,Del Rey Oaks Police Department,,no,yes,Del Rey Oaks,36.59535,-121.8404,Monterey County,California,Police,https://www.delreyoaks.org,TRUE,TRUE,TRUE,https://www.delreyoaks.org/sites/default/files/fileattachments/police_department/page/2726/release_20211207_t180436_del_rey_oaks_pd_ca_policy_manual.pdf,https://www.delreyoaks.org/sites/default/files/fileattachments/police_department/page/141/del_rey_oaks_draft_military_equipment_use_policy.pdf,https://www.delreyoaks.org/sites/default/files/fileattachments/police_department/page/141/section_1_qualifying_equipment_dro_pd_owns.pdf  https://www.delreyoaks.org/sites/default/files/fileattachments/police_department/page/141/section_3_qualifying_equipment_dro_pd_is_seeking.pdf,
SB978-152,Delano Police Department,,no,yes,Delano,35.77046,-119.2453,Kern County,California,Police,http://www.cityofdelano.org,TRUE,TRUE,,https://www.cityofdelano.org/DocumentCenter/View/5576/Delano-Police-Department-Policy-Manual-,https://www.cityofdelano.org/DocumentCenter/View/6158/Delano-Police-Department-Proposed-Military-Equipment-Policy,,
SB978-153,Desert Hot Springs Police Department,,no,yes,Desert Hot Springs,33.96145,-116.5102,Riverside County,California,Police,https://www.cityofdhs.org,TRUE,TRUE,,https://cdn2.hubspot.net/hubfs/4435988/pd%20DHSPD%20Policy%20and%20Procedure%20Manual.pdf,NA,,
SB978-154,Dinuba Police Department,,no,yes,Dinuba,36.54431,-119.3856,Tulare County,California,Police,http://www.dinuba.org,TRUE,TRUE,,https://www.dinuba.org/images/2020/Dinuba-PD-Policy-Manual.pdf,https://dinuba.org/images/2022/Dinuba_PD_Policy_Manual.pdf,,
SB978-155,Dixon Police Department,,no,yes,Dixon,38.44552,-121.8171,Solano County,California,Police,https://www.dixonpolice.org,TRUE,TRUE,,https://www.dixonpolice.org/media/howdoi/Dixon%20Police%20Department%20Policy%202022.pdf,https://www.dixonpolice.org/media/howdoi/Dixon%20Police%20Department%20Policy%202022.pdf,,
